5.000000
64 64 64
155.039997 155.039997 155.039997
-4.960003 -4.960003 -4.960003
11.280642 577.939007 179.003937
194003 19 23 47
0.998870 0.023521 0.041287 6.854169
198099 19 23 48
0.965194 -0.040500 -0.258380 6.239923
214292 20 20 52
0.756697 0.587272 -0.287265 5.814728
197972 20 21 48
0.636163 0.729012 0.252661 5.335419
202068 20 21 49
0.742775 0.605548 0.285653 6.592610
210260 20 21 51
0.875614 0.482997 0.003759 9.146210
214356 20 21 52
0.812489 0.159634 -0.560695 7.787704
218452 20 21 53
0.608797 -0.042865 -0.792167 4.480707
206228 20 22 50
0.898250 -0.246641 0.363751 9.154131
210324 20 22 51
0.925787 -0.324561 -0.193852 9.731795
189908 20 23 46
0.805552 0.238866 0.542244 11.689050
194004 20 23 47
0.995180 -0.025167 -0.094786 13.333077
202196 20 23 49
0.554289 -0.557611 -0.617926 7.490901
206292 20 23 50
0.515446 -0.855176 0.054676 6.496212
214484 20 23 52
0.456675 -0.648922 -0.608562 4.915383
189972 20 24 46
0.756430 -0.653085 0.035975 9.788493
194068 20 24 47
0.486091 -0.859846 -0.156142 9.269201
198164 20 24 48
0.331874 -0.839871 -0.429506 7.227127
185940 20 25 45
0.845403 -0.529002 -0.073827 6.350310
210133 21 19 51
0.252836 0.967508 -0.001660 4.777759
210197 21 20 51
0.384593 0.920571 0.068099 8.903768
214293 21 20 52
0.093815 0.858743 -0.503744 8.065740
206165 21 21 50
0.596147 0.684881 0.418983 10.796440
198037 21 22 48
0.485343 0.806042 -0.338730 12.853475
214421 21 22 52
-0.062848 -0.422228 -0.904308 8.467591
189909 21 23 46
0.019891 0.467618 0.883707 14.654503
194005 21 23 47
-0.026696 -0.906081 -0.422261 16.262615
210389 21 23 51
0.079707 -0.980987 -0.176950 8.417311
185877 21 24 45
0.783767 0.208624 0.584965 12.795134
194069 21 24 47
0.003645 -0.949847 -0.312693 11.221855
198165 21 24 48
0.057007 -0.906535 -0.418263 8.489236
177749 21 25 43
0.852915 -0.102277 0.511933 10.758687
181845 21 25 44
0.869093 -0.482248 -0.110059 11.608412
185941 21 25 45
0.751959 -0.650217 -0.108514 11.246243
190037 21 25 46
0.524445 -0.578700 -0.624551 9.103508
177813 21 26 43
0.802735 -0.520275 0.291429 8.098482
190101 21 26 46
0.726101 -0.387242 -0.568173 6.251307
92565 21 38 22
0.663749 0.571907 0.482037 1.319946
96853 21 41 23
0.960642 0.136796 0.241774 5.815055
193686 22 18 47
0.369398 0.581651 0.724726 2.464698
206038 22 19 50
0.287111 0.952090 -0.105321 6.074389
197910 22 20 48
0.643211 0.496128 0.583213 7.343626
202006 22 20 49
0.596080 0.710141 0.374683 9.070028
206102 22 20 50
0.349875 0.930178 0.111158 9.941636
210198 22 20 51
0.006826 0.935145 -0.354200 9.468857
214294 22 20 52
-0.193856 0.803826 -0.562391 7.438305
202070 22 21 49
0.222870 0.915942 0.333736 10.885873
206166 22 21 50
-0.408309 0.633133 0.657591 11.532367
218454 22 21 53
-0.202853 -0.042442 -0.978289 6.354745
222550 22 21 54
-0.164728 -0.008282 -0.986304 2.816996
193942 22 22 47
-0.536352 0.684918 0.493167 11.368143
198038 22 22 48
-0.526610 0.849399 0.034693 13.160002
206230 22 22 50
-0.777221 -0.619653 -0.109346 11.286437
210326 22 22 51
-0.585533 -0.589029 -0.556953 10.463300
185814 22 23 45
-0.382028 0.799220 0.464007 9.554418
189910 22 23 46
-0.865821 0.376196 0.329893 11.943250
194006 22 23 47
-0.964376 -0.222874 0.142501 13.261549
198102 22 23 48
-0.655172 -0.698688 -0.287375 13.198953
202198 22 23 49
-0.104001 -0.743904 -0.660145 10.873056
206294 22 23 50
-0.189812 -0.929479 -0.316292 8.661693
210390 22 23 51
-0.444740 -0.815971 -0.369320 7.401652
177686 22 24 43
-0.154388 0.844255 0.513223 10.168063
181782 22 24 44
-0.322948 0.909326 0.262356 11.940220
189974 22 24 46
-0.663153 -0.266097 -0.699586 12.213302
194070 22 24 47
-0.494159 -0.793010 -0.356290 9.504101
198166 22 24 48
-0.270260 -0.941662 -0.200581 7.883546
202262 22 24 49
-0.009909 -0.930320 -0.366616 6.091217
210454 22 24 51
-0.176463 -0.958266 -0.224916 3.341272
177750 22 25 43
0.058146 0.488648 0.870542 13.687965
190038 22 25 46
0.177358 -0.217032 -0.959917 11.093604
173718 22 26 42
0.290740 -0.285167 0.913318 7.502914
177814 22 26 43
0.647667 -0.455593 0.610706 13.066624
181910 22 26 44
0.939403 -0.123264 -0.319886 13.240863
190102 22 26 46
0.418830 -0.270036 -0.866984 9.734404
181974 22 27 44
0.964616 -0.262589 0.023723 12.364161
186070 22 27 45
0.880133 -0.301350 -0.366816 11.380898
190166 22 27 46
0.447508 -0.402004 -0.798830 7.657757
186134 22 28 45
0.768156 -0.522528 -0.370001 8.505615
