5.000000
64 64 64
0.650252 0.722040 -0.236285 2.384266
112600 24 31 27
0.487934 0.822793 -0.291430 14.733844
141272 24 31 34
0.774672 0.033207 0.631490 2.342383
145368 24 31 35
0.868016 0.285782 0.406050 4.393026
92184 24 32 22
0.679611 0.732792 -0.033825 3.722878
96280 24 32 23
-0.008356 0.701582 0.712540 4.342926
104472 24 32 25
0.184114 0.291734 0.938612 13.352670
112664 24 32 27
0.646292 0.747098 -0.155405 17.959332
116760 24 32 28
0.323728 0.420936 -0.847357 15.051967
124952 24 32 30
0.695693 -0.414526 -0.586669 6.832991
104536 24 33 25
0.547865 -0.102023 0.830322 13.755539
125016 24 33 30
0.382587 -0.528264 -0.758000 4.461393
100504 24 34 24
0.343864 -0.638566 0.688470 7.267711
104600 24 34 25
0.345765 -0.476011 0.808616 11.958297
108696 24 34 26
0.340471 -0.152709 0.927771 17.636774
112792 24 34 27
0.864313 -0.305651 -0.399426 20.273500
112856 24 35 27
0.841423 -0.534898 -0.076747 18.268652
116952 24 35 28
0.667315 -0.141253 -0.731258 15.130939
108824 24 36 26
0.737700 -0.229069 0.635079 12.277451
112920 24 36 27
0.923386 -0.381591 0.041785 14.832912
80280 24 38 19
0.104145 0.494559 0.862882 3.683580
104856 24 38 25
0.891108 0.287862 0.350801 13.444452
108952 24 38 26
0.969573 0.177366 0.168726 15.653084
113048 24 38 27
0.923836 0.127777 -0.360832 15.155546
121240 24 38 29
0.298475 -0.293872 -0.908049 6.554657
84440 24 39 20
0.451839 0.266477 0.851370 9.643742
88536 24 39 21
0.785052 0.565738 0.252258 11.689328
96728 24 39 23
0.618771 0.733688 0.280758 15.019883
117208 24 39 28
0.005204 -0.429643 -0.902984 9.612441
84504 24 40 20
0.439136 -0.148577 0.886050 9.545476
104984 24 40 25
0.990531 0.067765 0.119402 13.557288
113176 24 40 27
0.338282 -0.063223 -0.938919 13.333071
84568 24 41 20
0.638216 -0.126223 0.759439 8.807341
92760 24 41 22
0.427794 0.473245 0.770085 16.226522
96856 24 41 23
-0.061860 0.037044 -0.997397 16.020973
109144 24 41 26
0.959503 0.235370 0.154772 15.321829
117336 24 41 28
-0.063094 0.010176 -0.997956 7.238744
96920 24 42 23
0.789743 0.323036 -0.521492 16.453623
105112 24 42 25
0.888155 0.279528 0.364752 14.806383
109208 24 42 26
0.999169 0.035424 -0.020159 16.023548
113304 24 42 27
0.310606 -0.141461 -0.939954 13.518566
96984 24 43 23
0.668257 -0.278867 0.689685 16.219967
101080 24 43 24
0.837165 0.263753 -0.479155 16.312441
109272 24 43 26
0.723803 -0.601226 -0.338582 14.908086
117464 24 43 28
0.105360 -0.330400 -0.937942 5.407293
97048 24 44 23
0.569971 -0.393447 0.721341 15.027677
101144 24 44 24
0.581362 -0.664003 -0.470231 15.757361
105240 24 44 25
0.557861 -0.691081 -0.459563 13.660229
113432 24 44 27
0.307604 -0.594164 -0.743202 8.028061
117528 24 44 28
0.118645 -0.463823 -0.877947 3.156678
97112 24 45 23
0.205009 -0.889982 0.407312 11.162863
101208 24 45 24
0.095498 -0.954620 -0.282100 11.390987
105304 24 45 25
0.242416 -0.903391 -0.353723 8.882954
91353 25 19 22
0.807663 0.578972 0.111676 7.211549
99609 25 20 24
0.826041 0.551195 -0.117646 9.437497
103705 25 20 25
0.769419 0.401299 -0.496944 7.666549
193817 25 20 47
-0.387083 0.112855 0.915112 2.091803
197913 25 20 48
-0.755137 0.277057 0.594145 3.488072
95577 25 21 23
0.955023 0.293501 -0.042288 12.684126
206169 25 21 50
-0.383207 0.834688 -0.395536 3.957335
83353 25 22 20
0.957182 0.253831 0.139187 10.476644
91545 25 22 22
0.951535 -0.127374 0.279925 12.391294
95641 25 22 23
0.996937 -0.000101 0.078203 13.762067
99737 25 22 24
0.835783 -0.023946 -0.548538 12.539005
79321 25 23 19
0.821803 -0.165262 0.545278 8.510848
87513 25 23 21
0.987235 -0.125423 -0.098161 10.514073
99801 25 23 24
0.637969 -0.628157 -0.445437 10.456714
103897 25 23 25
0.762001 -0.525357 -0.378622 7.665267
107993 25 23 26
0.853349 -0.289852 -0.433338 5.350960
206297 25 23 50
0.999155 0.032611 -0.025028 7.302228
83481 25 24 20
0.954416 -0.173390 0.242952 9.842793
99865 25 24 24
0.544215 -0.722981 -0.425592 5.778429
189977 25 24 46
0.196756 0.897791 -0.394029 6.806003
206361 25 24 50
0.345694 -0.937675 -0.035510 5.497574
83545 25 25 20
0.834838 -0.409726 0.367655 8.066550
177753 25 25 43
-0.015285 0.769158 0.638875 6.841320
185945 25 25 45
0.106055 0.981802 -0.157537 11.502453
128665 25 26 31
0.677477 0.733238 0.058190 9.787738
140953 25 26 34
0.486931 0.717865 -0.497562 5.833641
173721 25 26 42
0.423993 0.423618 0.800486 6.395416
198297 25 26 48
0.588899 -0.219318 -0.777880 5.861902
120537 25 27 29
0.516851 0.772844 0.368207 10.059040
136921 25 27 33
0.940535 0.128248 -0.314559 12.819800
141017 25 27 34
0.764900 0.182051 -0.617888 9.553992
181977 25 27 44
-0.211859 0.643014 0.735968 13.183393
116505 25 28 28
0.567828 0.510244 0.645928 11.449852
177945 25 28 43
0.733934 -0.064151 0.676185 11.942983
186137 25 28 45
0.283436 -0.640340 -0.713883 11.880912
132953 25 29 32
0.749401 -0.308624 -0.585789 12.642743
173913 25 29 42
0.833057 -0.094086 0.545127 8.763698
128921 25 30 31
0.675506 -0.596002 -0.434135 12.869419
133017 25 30 32
0.690940 -0.519653 -0.502556 9.433800
108505 25 31 26
-0.427139 0.682557 0.593016 13.814365
124889 25 31 30
0.709060 -0.630358 -0.316042 11.824698
128985 25 31 31
0.513963 -0.588013 -0.624566 9.352263
145369 25 31 35
0.909392 0.278947 0.308537 9.152034
157657 25 31 38
0.938649 0.340344 -0.055719 9.160734
169945 25 31 41
0.968863 -0.217980 -0.117424 6.509993
88089 25 32 21
0.363677 0.929536 -0.060851 5.385463
108569 25 32 26
-0.800826 0.231465 0.552360 16.478121
116761 25 32 28
-0.585363 0.105361 -0.803896 14.585410
149529 25 32 36
0.994342 0.101518 0.031260 11.983001
157721 25 32 38
0.971886 0.081923 -0.220741 10.556860
96345 25 33 23
-0.539328 0.464904 0.702132 5.597659
104537 25 33 25
-0.550831 -0.079635 0.830809 13.844855
116825 25 33 28
-0.420999 0.059141 -0.905131 14.768672
125017 25 33 30
0.093670 -0.784321 -0.613243 5.388775
104601 25 34 25
-0.405692 -0.489949 0.771599 11.826770
108697 25 34 26
-0.521668 0.065216 0.850652 17.014103
116889 25 34 28
-0.031012 0.274307 -0.961142 15.953725
137369 25 34 33
0.893682 -0.173999 0.413591 4.575434
157849 25 34 38
0.930771 -0.283958 -0.230289 10.105582
88281 25 35 21
0.095663 -0.960272 0.262158 1.969512
108761 25 35 26
-0.138824 -0.129113 0.981864 16.721403
125145 25 35 30
0.287264 0.515982 -0.806996 6.967457
108825 25 36 26
0.228666 0.031648 0.972990 15.928048
121113 25 36 29
0.490308 -0.013679 -0.871442 15.157722
129305 25 36 31
0.306573 -0.481575 -0.821035 3.381984
104793 25 37 25
0.442308 0.787131 0.429871 14.902832
108889 25 37 26
0.536620 0.707035 0.460588 18.146955
117081 25 37 28
0.782445 -0.420019 -0.459744 18.316191
84377 25 38 20
0.168107 0.822933 0.542698 8.156754
92569 25 38 22
0.416431 0.885687 0.205290 12.897969
108953 25 38 26
0.954929 0.279041 0.101224 21.002737
113049 25 38 27
0.584668 -0.249594 -0.771924 19.335686
117145 25 38 28
0.512393 -0.535924 -0.670998 15.265800
96729 25 39 23
-0.272318 0.567598 -0.776966 15.509554
109017 25 39 26
0.847622 -0.524501 0.080223 19.911512
113177 25 40 27
0.318268 -0.165476 -0.933447 14.988591
88665 25 41 21
0.422301 0.843278 0.332483 15.695240
92761 25 41 22
-0.641654 0.746625 -0.175590 15.594052
105049 25 41 25
0.708613 0.212618 0.672801 16.666355
113241 25 41 27
0.199829 -0.055552 -0.978255 14.411979
207449 25 41 50
0.957177 0.274994 0.090497 2.396375
88729 25 42 21
0.810530 -0.392859 0.434399 16.396776
96921 25 42 23
-0.548680 0.835096 -0.039573 16.568710
109209 25 42 26
0.073247 -0.721288 -0.688752 17.162205
113305 25 42 27
-0.018570 -0.230808 -0.972822 13.665142
207513 25 42 50
0.863297 0.487113 -0.132055 3.107752
84697 25 43 20
0.633593 -0.377822 0.675137 10.087178
88793 25 43 21
0.809678 -0.490690 0.321939 13.726768
92889 25 43 22
0.596021 -0.615402 0.515790 15.243308
101081 25 43 24
-0.277912 0.209597 -0.937462 17.202143
105177 25 43 25
